METADATA,DENSE_VECTOR
"{""TICKET_ID"":""INC-3001"",""SERVICE"":""WiFi"",""SLA"":""Gold"",""SITE"":""NYC-01"",""DESCRIPTION"":""WiFi throughput dips below KPI during lunch rush at flagship store.""}","[0.7625,0.5394,0.7786,0.5304,0.0006,0.3242,0.0195,0.9291]"
"{""TICKET_ID"":""INC-3002"",""SERVICE"":""POS"",""SLA"":""Silver"",""SITE"":""NYC-02"",""DESCRIPTION"":""POS terminals intermittently fail to authorize chip cards.""}","[0.8787,0.8317,0.3075,0.0579,0.878,0.9469,0.0857,0.486]"
"{""TICKET_ID"":""INC-3003"",""SERVICE"":""Inventory"",""SLA"":""Bronze"",""SITE"":""SFO-03"",""DESCRIPTION"":""Inventory scanners cannot sync new barcodes to ERP.""}","[0.0692,0.7606,0.7658,0.1284,0.4753,0.5498,0.2651,0.8724]"
"{""TICKET_ID"":""INC-3004"",""SERVICE"":""Video"",""SLA"":""Gold"",""SITE"":""DFW-11"",""DESCRIPTION"":""CCTV analytics workload stalls after model redeploy.""}","[0.4231,0.2118,0.5393,0.7299,0.2012,0.3117,0.9951,0.6499]"
"{""TICKET_ID"":""INC-3005"",""SERVICE"":""Curbside"",""SLA"":""Silver"",""SITE"":""MIA-07"",""DESCRIPTION"":""Curbside pickup tablets reboot when pushing large updates.""}","[0.4381,0.5176,0.121,0.2247,0.3381,0.5883,0.2301,0.2202]"
"{""TICKET_ID"":""INC-3006"",""SERVICE"":""5G-Core"",""SLA"":""Bronze"",""SITE"":""SEA-05"",""DESCRIPTION"":""Private 5G radios show degraded latency in loading dock.""}","[0.071,0.6311,0.2289,0.9054,0.8596,0.0709,0.238,0.669]"
"{""TICKET_ID"":""INC-3007"",""SERVICE"":""Security"",""SLA"":""Gold"",""SITE"":""NYC-01"",""DESCRIPTION"":""Self-checkout cameras lag and miss loss-prevention cues.""}","[0.2142,0.1323,0.9355,0.571,0.4727,0.7846,0.8075,0.1904]"
"{""TICKET_ID"":""INC-3008"",""SERVICE"":""Signage"",""SLA"":""Silver"",""SITE"":""NYC-02"",""DESCRIPTION"":""Digital signage fails to refresh promotional playlists.""}","[0.0969,0.4311,0.4236,0.467,0.7291,0.6734,0.9842,0.0984]"
"{""TICKET_ID"":""INC-3009"",""SERVICE"":""WiFi"",""SLA"":""Bronze"",""SITE"":""SFO-03"",""DESCRIPTION"":""Temperature sensors stream duplicate readings overnight.""}","[0.4026,0.3393,0.8617,0.2487,0.1902,0.4486,0.4219,0.2785]"
"{""TICKET_ID"":""INC-3010"",""SERVICE"":""POS"",""SLA"":""Gold"",""SITE"":""DFW-11"",""DESCRIPTION"":""Pharmacy kiosks throw SSL errors while calling APIs.""}","[0.2498,0.9233,0.4431,0.8613,0.5503,0.0506,0.9993,0.836]"
"{""TICKET_ID"":""INC-3011"",""SERVICE"":""Inventory"",""SLA"":""Silver"",""SITE"":""MIA-07"",""DESCRIPTION"":""Robotic replenishment bots lose SLAM localization.""}","[0.969,0.9264,0.8487,0.1663,0.4856,0.2137,0.401,0.0586]"
"{""TICKET_ID"":""INC-3012"",""SERVICE"":""Video"",""SLA"":""Bronze"",""SITE"":""SEA-05"",""DESCRIPTION"":""Drone-delivery telemetry fails geofencing validation.""}","[0.379,0.9853,0.2652,0.7841,0.455,0.423,0.9573,0.9954]"
"{""TICKET_ID"":""INC-3013"",""SERVICE"":""Curbside"",""SLA"":""Gold"",""SITE"":""NYC-01"",""DESCRIPTION"":""Store-associate copilot keeps timing out on search prompts.""}","[0.5558,0.7184,0.1548,0.2967,0.9687,0.5792,0.5422,0.748]"
"{""TICKET_ID"":""INC-3014"",""SERVICE"":""5G-Core"",""SLA"":""Silver"",""SITE"":""NYC-02"",""DESCRIPTION"":""Vision defect detector misclassifies seasonal displays.""}","[0.0572,0.5842,0.5029,0.8527,0.1574,0.9608,0.0801,0.1858]"
"{""TICKET_ID"":""INC-3015"",""SERVICE"":""Security"",""SLA"":""Bronze"",""SITE"":""SFO-03"",""DESCRIPTION"":""Customer sentiment topic modeling drifts after reindex.""}","[0.595,0.6752,0.2352,0.1199,0.8903,0.2462,0.5945,0.6194]"
