ID,DENSE_VECTOR,METADATA
INC-2001,"[0.6394,0.025,0.275,0.2232,0.7365,0.6767,0.8922,0.0869]","{""TICKET_ID"":""INC-2001"",""SERVICE"":""WiFi"",""SLA"":""Gold"",""SITE"":""NYC-01"",""DESCRIPTION"":""WiFi throughput dips below KPI during lunch rush at flagship store.""}"
INC-2002,"[0.4219,0.0298,0.2186,0.5054,0.0265,0.1988,0.6499,0.5449]","{""TICKET_ID"":""INC-2002"",""SERVICE"":""POS"",""SLA"":""Silver"",""SITE"":""NYC-02"",""DESCRIPTION"":""POS terminals intermittently fail to authorize chip cards.""}"
INC-2003,"[0.2204,0.5893,0.8094,0.0065,0.8058,0.6981,0.3403,0.1555]","{""TICKET_ID"":""INC-2003"",""SERVICE"":""Inventory"",""SLA"":""Bronze"",""SITE"":""SFO-03"",""DESCRIPTION"":""Inventory scanners cannot sync new barcodes to ERP.""}"
INC-2004,"[0.9572,0.3366,0.0927,0.0967,0.8475,0.6037,0.8071,0.7297]","{""TICKET_ID"":""INC-2004"",""SERVICE"":""Video"",""SLA"":""Gold"",""SITE"":""DFW-11"",""DESCRIPTION"":""CCTV analytics workload stalls after model redeploy.""}"
INC-2005,"[0.5362,0.9731,0.3785,0.552,0.8294,0.6185,0.8617,0.5774]","{""TICKET_ID"":""INC-2005"",""SERVICE"":""Curbside"",""SLA"":""Silver"",""SITE"":""MIA-07"",""DESCRIPTION"":""Curbside pickup tablets reboot when pushing large updates.""}"
INC-2006,"[0.7046,0.0458,0.2279,0.2894,0.0798,0.2328,0.101,0.278]","{""TICKET_ID"":""INC-2006"",""SERVICE"":""5G-Core"",""SLA"":""Bronze"",""SITE"":""SEA-05"",""DESCRIPTION"":""Private 5G radios show degraded latency in loading dock.""}"
INC-2007,"[0.6357,0.3648,0.3702,0.2095,0.267,0.9367,0.648,0.6091]","{""TICKET_ID"":""INC-2007"",""SERVICE"":""Security"",""SLA"":""Gold"",""SITE"":""NYC-01"",""DESCRIPTION"":""Self-checkout cameras lag and miss loss-prevention cues.""}"
INC-2008,"[0.1711,0.7291,0.1634,0.3795,0.9895,0.64,0.5569,0.6846]","{""TICKET_ID"":""INC-2008"",""SERVICE"":""Signage"",""SLA"":""Silver"",""SITE"":""NYC-02"",""DESCRIPTION"":""Digital signage fails to refresh promotional playlists.""}"
INC-2009,"[0.8429,0.776,0.229,0.0321,0.3155,0.2677,0.211,0.9429]","{""TICKET_ID"":""INC-2009"",""SERVICE"":""WiFi"",""SLA"":""Bronze"",""SITE"":""SFO-03"",""DESCRIPTION"":""Temperature sensors stream duplicate readings overnight.""}"
INC-2010,"[0.8764,0.3147,0.6554,0.3956,0.9145,0.4589,0.2649,0.2466]","{""TICKET_ID"":""INC-2010"",""SERVICE"":""POS"",""SLA"":""Gold"",""SITE"":""DFW-11"",""DESCRIPTION"":""Pharmacy kiosks throw SSL errors while calling APIs.""}"
INC-2011,"[0.5614,0.2627,0.5846,0.8978,0.3994,0.2193,0.9975,0.5095]","{""TICKET_ID"":""INC-2011"",""SERVICE"":""Inventory"",""SLA"":""Silver"",""SITE"":""MIA-07"",""DESCRIPTION"":""Robotic replenishment bots lose SLAM localization.""}"
INC-2012,"[0.0909,0.0471,0.1096,0.6274,0.7921,0.4222,0.0635,0.3816]","{""TICKET_ID"":""INC-2012"",""SERVICE"":""Video"",""SLA"":""Bronze"",""SITE"":""SEA-05"",""DESCRIPTION"":""Drone-delivery telemetry fails geofencing validation.""}"
INC-2013,"[0.9961,0.5291,0.9711,0.8608,0.0115,0.7207,0.6817,0.537]","{""TICKET_ID"":""INC-2013"",""SERVICE"":""Curbside"",""SLA"":""Gold"",""SITE"":""NYC-01"",""DESCRIPTION"":""Store-associate copilot keeps timing out on search prompts.""}"
INC-2014,"[0.2668,0.641,0.1116,0.4348,0.4537,0.9538,0.8759,0.2634]","{""TICKET_ID"":""INC-2014"",""SERVICE"":""5G-Core"",""SLA"":""Silver"",""SITE"":""NYC-02"",""DESCRIPTION"":""Vision defect detector misclassifies seasonal displays.""}"
INC-2015,"[0.5006,0.1787,0.9126,0.8705,0.2984,0.6389,0.609,0.1528]","{""TICKET_ID"":""INC-2015"",""SERVICE"":""Security"",""SLA"":""Bronze"",""SITE"":""SFO-03"",""DESCRIPTION"":""Customer sentiment topic modeling drifts after reindex.""}"
